Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,0,0,0,162,-1.0,,
Existants,J2,167,96,-71,105,95.0,-0.43,
Existants,J3,175,281,106,129,280.0,0.61,
Existants,J4,0,97,97,194,96.0,,
Existants,J5,156,85,-71,79,84.0,-0.46,
Nouveaux acceptés,J6,,339,,182,1.86,,
Nouveaux acceptés,J7,,332,,130,2.55,,
Nouveaux acceptés,J8,,56,,186,0.3,,
Nouveaux acceptés,J9,,22,,136,0.16,,
Nouveaux acceptés,J10,,229,,175,1.31,,
Nouveaux acceptés,J11,,195,,120,1.62,,
Nouveaux acceptés,J12,,79,,169,0.47,,
Nouveaux acceptés,J13,,23,,172,0.13,,
