Pool,job,cost,Cj_initial,Cj_final,Diff_Cj,Tj_initial,Tj_final,Tj_final_pondere,Diff_Tj,Cmax,dj
Existants,J1,1.0,50,50,0,0,0,0.0,0,207,62
Existants,J2,1.0,102,107,5,25,30,30.0,5,207,77
Nouveaux acceptés,J3,1.0,,207,,,57,57.0,,207,150
Nouveaux acceptés,J4,1.0,,146,,,9,9.0,,207,137
