Pool,job,cost,Cj_initial,Cj_final,Diff_Cj,Tj_initial,Tj_final,Tj_final_pondere,Diff_Tj,Cmax,dj
Existants,J1,0.9,80,80,0,0,0,0.0,0,246,117
Nouveaux acceptés,J2,0.07,,137,,,0,0.0,,246,143
Nouveaux acceptés,J3,0.16,,246,,,48,7.74,,246,198
Nouveaux acceptés,J4,0.3,,195,,,31,9.2,,246,164
