Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,0,0,0,162,-1.0,,
Existants,J2,167,194,27,105,193.0,0.16,
Existants,J3,175,446,271,129,445.0,1.55,
Existants,J4,0,0,0,194,-1.0,,
Existants,J5,156,140,-16,79,139.0,-0.1,
Nouveaux acceptés,J6,,280,,219,1.28,,
Nouveaux acceptés,J7,,210,,167,1.26,,
Nouveaux acceptés,J8,,102,,223,0.46,,
Nouveaux acceptés,J9,,120,,173,0.69,,
Nouveaux acceptés,J10,,0,,212,0.0,,
Nouveaux acceptés,J11,,91,,165,0.55,,
Nouveaux acceptés,J12,,240,,196,1.22,,
Nouveaux acceptés,J13,,41,,209,0.2,,
