Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,0,0,0,97,-1.0,,
Existants,J2,243,243,0,131,242.0,0.0,
Existants,J3,20,20,0,172,19.0,0.0,
Existants,J4,0,0,0,137,-1.0,,
Existants,J5,84,84,0,130,83.0,0.0,
Existants,J6,229,229,0,208,228.0,0.0,
Existants,J7,50,50,0,87,49.0,0.0,
Existants,J8,125,125,0,182,124.0,0.0,
Nouveaux acceptés,J9,,63,,573,0.11,,
Nouveaux acceptés,J10,,9,,574,0.02,,
Nouveaux acceptés,J11,,0,,550,0.0,,
Nouveaux acceptés,J12,,0,,556,0.0,,
Nouveaux acceptés,J13,,365,,581,0.63,,
Nouveaux acceptés,J14,,256,,595,0.43,,
Nouveaux acceptés,J15,,309,,611,0.51,,
Nouveaux acceptés,J16,,119,,567,0.21,,
Nouveaux acceptés,J17,,148,,631,0.23,,
