Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,10,0,-10,162,-1.0,-1.0,
Existants,J2,159,42,-117,105,41.0,-0.74,
Existants,J3,167,192,25,129,191.0,0.15,
Existants,J4,27,40,13,194,39.0,0.48,
Existants,J5,148,177,29,79,176.0,0.2,
Nouveaux acceptés,J6,,137,,152,0.9,,
Nouveaux acceptés,J7,,196,,209,0.94,,
