Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,313,428,115,156,427.0,0.37,
Existants,J2,219,651,432,136,650.0,1.97,
Existants,J3,0,0,0,187,-1.0,,
Existants,J4,231,259,28,184,258.0,0.12,
Existants,J5,451,571,120,79,570.0,0.27,
Existants,J6,8,8,0,118,7.0,0.0,
Existants,J7,0,0,0,72,-1.0,,
Existants,J8,82,57,-25,176,56.0,-0.3,
Existants,J9,71,416,345,114,415.0,4.86,
Existants,J10,71,16,-55,152,15.0,-0.77,
Nouveaux acceptés,J11,,339,,395,0.86,,
Nouveaux acceptés,J12,,0,,401,0.0,,
Nouveaux acceptés,J13,,587,,439,1.34,,
Nouveaux acceptés,J14,,117,,262,0.45,,
Nouveaux acceptés,J15,,560,,335,1.67,,
Nouveaux acceptés,J16,,675,,311,2.17,,
Nouveaux acceptés,J17,,11,,187,0.06,,
