Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,43,0,-43,61,-1.0,-1.0,
Existants,J2,46,26,-20,92,25.0,-0.43,
Existants,J3,0,15,15,73,14.0,,
Existants,J4,113,241,128,124,240.0,1.13,
Nouveaux acceptés,J5,,55,,234,0.24,,
Nouveaux acceptés,J6,,199,,160,1.24,,
Nouveaux acceptés,J7,,40,,143,0.28,,
Nouveaux acceptés,J8,,390,,284,1.37,,
Nouveaux acceptés,J9,,0,,270,0.0,,
Nouveaux acceptés,J10,,0,,269,0.0,,
Nouveaux acceptés,J11,,343,,261,1.31,,
Nouveaux acceptés,J12,,364,,176,2.07,,
Nouveaux acceptés,J13,,0,,198,0.0,,
Nouveaux acceptés,J14,,233,,201,1.16,,
