Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,43,43,0,61,42.0,0.0,
Existants,J2,46,43,-3,92,42.0,-0.07,
Existants,J3,0,0,0,73,-1.0,,
Existants,J4,113,126,13,124,125.0,0.12,
Nouveaux acceptés,J5,,148,,216,0.69,,
Nouveaux acceptés,J6,,375,,236,1.59,,
Nouveaux acceptés,J7,,247,,288,0.86,,
Nouveaux acceptés,J8,,125,,286,0.44,,
Nouveaux acceptés,J9,,384,,297,1.29,,
Nouveaux acceptés,J10,,306,,235,1.3,,
Nouveaux acceptés,J11,,0,,269,0.0,,
Nouveaux acceptés,J12,,257,,198,1.3,,
Nouveaux acceptés,J13,,544,,264,2.06,,
Nouveaux acceptés,J14,,298,,163,1.83,,
Nouveaux acceptés,J15,,539,,207,2.6,,
