Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,42,0,-42,162,-1.0,-1.0,
Existants,J2,154,313,159,105,312.0,1.03,
Existants,J3,157,71,-86,129,70.0,-0.55,
Existants,J4,59,0,-59,194,-1.0,-1.0,
Existants,J5,131,302,171,79,301.0,1.31,
Nouveaux acceptés,J6,,356,,337,1.06,,
Nouveaux acceptés,J7,,224,,257,0.87,,
Nouveaux acceptés,J8,,48,,203,0.24,,
Nouveaux acceptés,J9,,80,,234,0.34,,
Nouveaux acceptés,J10,,437,,195,2.24,,
Nouveaux acceptés,J11,,294,,271,1.08,,
