Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,10,0,-10,162,-1.0,-1.0,
Existants,J2,181,206,25,105,205.0,0.14,
Existants,J3,121,71,-50,129,70.0,-0.41,
Existants,J4,27,0,-27,194,-1.0,-1.0,
Existants,J5,148,181,33,79,180.0,0.22,
Nouveaux acceptés,J6,,132,,261,0.51,,
Nouveaux acceptés,J7,,43,,211,0.2,,
Nouveaux acceptés,J8,,55,,250,0.22,,
Nouveaux acceptés,J9,,149,,203,0.73,,
Nouveaux acceptés,J10,,155,,244,0.64,,
Nouveaux acceptés,J11,,99,,247,0.4,,
