Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,42,0,-42,162,-1.0,-1.0,
Existants,J2,154,42,-112,105,41.0,-0.73,
Existants,J3,157,227,70,129,226.0,0.45,
Existants,J4,59,291,232,194,290.0,3.93,
Existants,J5,131,249,118,79,248.0,0.9,
Nouveaux acceptés,J6,,506,,299,1.69,,
Nouveaux acceptés,J7,,42,,219,0.19,,
Nouveaux acceptés,J8,,475,,160,2.97,,
Nouveaux acceptés,J9,,33,,165,0.2,,
Nouveaux acceptés,J10,,223,,196,1.14,,
Nouveaux acceptés,J11,,545,,157,3.47,,
Nouveaux acceptés,J12,,534,,206,2.59,,
Nouveaux acceptés,J13,,336,,233,1.44,,
