Pool,job,cost,Cj_initial,Cj_final,Diff_Cj,Tj_initial,Tj_final,Tj_final_pondere,Diff_Tj,Cmax,dj
Existants,J1,0.94,154,159,5,15,20,18.78,5,284,139
Existants,J2,0.89,101,101,0,0,0,0.0,0,284,111
Nouveaux acceptés,J3,0.11,,142,,,0,0.0,,284,158
Nouveaux acceptés,J4,0.22,,209,,,59,12.8,,284,150
Nouveaux acceptés,J5,0.35,,284,,,116,41.17,,284,168
