Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,128,94,-34,123,93.0,-0.27,
Existants,J2,18,18,0,75,17.0,0.0,
Existants,J3,53,241,188,192,240.0,3.55,
Existants,J4,160,348,188,170,347.0,1.18,
Existants,J5,0,0,0,88,-1.0,,
Nouveaux acceptés,J6,,195,,244,0.8,,
Nouveaux acceptés,J7,,565,,313,1.81,,
Nouveaux acceptés,J8,,46,,317,0.15,,
Nouveaux acceptés,J9,,17,,258,0.07,,
Nouveaux acceptés,J10,,568,,275,2.07,,
Nouveaux acceptés,J11,,0,,207,0.0,,
Nouveaux acceptés,J12,,385,,333,1.16,,
Nouveaux acceptés,J13,,202,,338,0.6,,
Nouveaux acceptés,J14,,252,,329,0.77,,
Nouveaux acceptés,J15,,370,,308,1.2,,
Nouveaux acceptés,J16,,489,,296,1.65,,
