Pool,job,cost,Cj_initial,Cj_final,Diff_Cj,Tj_initial,Tj_final,Tj_final_pondere,Diff_Tj,Cmax,dj
Existants,J1,1.0,245,245,0,83,83,83.0,0,331,162
Existants,J2,1.0,156,156,0,0,0,0.0,0,331,193
Nouveaux acceptés,J3,1.0,,331,,,63,63.0,,331,268
