Pool,job,cost,Cj_initial,Cj_final,Diff_Cj,Tj_initial,Tj_final,Tj_final_pondere,Diff_Tj,Cmax,dj
Existants,J1,0.99,104,143,39,0,0,0.0,0,283,146
Nouveaux acceptés,J2,0.39,,161,,,17,6.7,,283,144
Nouveaux acceptés,J3,0.35,,283,,,131,45.33,,283,152
Nouveaux acceptés,J4,0.24,,230,,,32,7.84,,283,198
