Pool,job,cost,Cj_initial,Cj_final,Diff_Cj,Tj_initial,Tj_final,Tj_final_pondere,Diff_Tj,Cmax,dj
Existants,J1,1.0,143,143,0,45,45,45.0,0,268,98
Existants,J2,1.0,103,103,0,0,0,0.0,0,268,145
Nouveaux acceptés,J3,1.0,,195,,,0,0.0,,268,201
Nouveaux acceptés,J4,1.0,,268,,,0,0.0,,268,303
