Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,0,0,0,162,-1.0,,
Existants,J2,167,250,83,105,249.0,0.5,
Existants,J3,175,120,-55,129,119.0,-0.31,
Existants,J4,0,98,98,194,97.0,,
Existants,J5,156,127,-29,79,126.0,-0.19,
Nouveaux acceptés,J6,,309,,167,1.85,,
Nouveaux acceptés,J7,,20,,223,0.09,,
Nouveaux acceptés,J8,,176,,173,1.02,,
Nouveaux acceptés,J9,,206,,212,0.97,,
Nouveaux acceptés,J10,,259,,165,1.57,,
Nouveaux acceptés,J11,,159,,157,1.01,,
Nouveaux acceptés,J12,,0,,209,0.0,,
