Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,378,378,0,107,377.0,0.0,
Existants,J2,87,87,0,80,86.0,0.0,
Existants,J3,127,127,0,134,126.0,0.0,
Existants,J4,217,217,0,87,216.0,0.0,
Existants,J5,59,59,0,133,58.0,0.0,
Existants,J6,325,325,0,83,324.0,0.0,
Existants,J7,236,236,0,110,235.0,0.0,
Existants,J8,0,0,0,110,-1.0,,
Existants,J9,8,8,0,122,7.0,0.0,
Existants,J10,140,140,0,115,139.0,0.0,
Nouveaux acceptés,J11,,385,,615,0.63,,
Nouveaux acceptés,J12,,550,,645,0.85,,
Nouveaux acceptés,J13,,0,,558,0.0,,
Nouveaux acceptés,J14,,12,,579,0.02,,
Nouveaux acceptés,J15,,382,,656,0.58,,
Nouveaux acceptés,J16,,127,,601,0.21,,
Nouveaux acceptés,J17,,259,,597,0.43,,
Nouveaux acceptés,J18,,271,,621,0.44,,
Nouveaux acceptés,J19,,477,,611,0.78,,
Nouveaux acceptés,J20,,168,,620,0.27,,
