Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,42,0,-42,162,-1.0,-1.0,
Existants,J2,154,42,-112,105,41.0,-0.73,
Existants,J3,157,143,-14,129,142.0,-0.09,
Existants,J4,59,251,192,194,250.0,3.25,
Existants,J5,131,165,34,79,164.0,0.26,
Nouveaux acceptés,J6,,379,,299,1.27,,
Nouveaux acceptés,J7,,116,,219,0.53,,
Nouveaux acceptés,J8,,343,,165,2.08,,
Nouveaux acceptés,J9,,42,,196,0.21,,
Nouveaux acceptés,J10,,460,,157,2.93,,
Nouveaux acceptés,J11,,344,,206,1.67,,
Nouveaux acceptés,J12,,269,,233,1.15,,
