Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,26,26,0,88,25.0,0.0,
Existants,J2,0,0,0,108,-1.0,,
Existants,J3,347,401,54,160,400.0,0.16,
Existants,J4,66,66,0,109,65.0,0.0,
Existants,J5,17,17,0,202,16.0,0.0,
Existants,J6,47,47,0,208,46.0,0.0,
Existants,J7,199,297,98,205,296.0,0.49,
Existants,J8,171,171,0,156,170.0,0.0,
Existants,J9,233,455,222,215,454.0,0.95,
Existants,J10,0,0,0,67,-1.0,,
Nouveaux acceptés,J11,,367,,467,0.79,,
Nouveaux acceptés,J12,,31,,405,0.08,,
Nouveaux acceptés,J13,,282,,426,0.66,,
Nouveaux acceptés,J14,,0,,429,0.0,,
Nouveaux acceptés,J15,,511,,373,1.37,,
Nouveaux acceptés,J16,,506,,434,1.17,,
