Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,60,60,0,92,59.0,0.0,
Existants,J2,149,210,61,173,209.0,0.41,
Existants,J3,5,5,0,81,4.0,0.0,
Existants,J4,0,0,0,123,-1.0,,
Existants,J5,127,230,103,99,229.0,0.81,
Nouveaux acceptés,J6,,443,,296,1.5,,
Nouveaux acceptés,J7,,50,,366,0.14,,
Nouveaux acceptés,J8,,643,,392,1.64,,
Nouveaux acceptés,J9,,634,,230,2.76,,
Nouveaux acceptés,J10,,592,,323,1.83,,
Nouveaux acceptés,J11,,272,,342,0.8,,
Nouveaux acceptés,J12,,292,,252,1.16,,
Nouveaux acceptés,J13,,0,,235,0.0,,
Nouveaux acceptés,J14,,416,,370,1.12,,
Nouveaux acceptés,J15,,262,,224,1.17,,
Nouveaux acceptés,J16,,0,,300,0.0,,
Nouveaux acceptés,J17,,607,,351,1.73,,
Nouveaux acceptés,J18,,531,,390,1.36,,
