Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,167,167,0,130,166.0,0.0,
Existants,J2,36,36,0,104,35.0,0.0,
Existants,J3,7,7,0,169,6.0,0.0,
Existants,J4,147,147,0,102,146.0,0.0,
Existants,J5,52,52,0,82,51.0,0.0,
Existants,J6,171,171,0,84,170.0,0.0,
Existants,J7,0,0,0,85,-1.0,,
Existants,J8,368,368,0,153,367.0,0.0,
Existants,J9,239,239,0,161,238.0,0.0,
Existants,J10,156,156,0,182,155.0,0.0,
Nouveaux acceptés,J11,,169,,665,0.25,,
Nouveaux acceptés,J12,,513,,659,0.78,,
Nouveaux acceptés,J13,,56,,605,0.09,,
Nouveaux acceptés,J14,,28,,698,0.04,,
Nouveaux acceptés,J15,,0,,672,0.0,,
Nouveaux acceptés,J16,,403,,625,0.64,,
Nouveaux acceptés,J17,,395,,687,0.57,,
Nouveaux acceptés,J18,,76,,644,0.12,,
Nouveaux acceptés,J19,,263,,705,0.37,,
Nouveaux acceptés,J20,,142,,632,0.22,,
