Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,10,0,-10,162,-1.0,-1.0,
Existants,J2,181,37,-144,105,36.0,-0.8,
Existants,J3,121,284,163,129,283.0,1.35,
Existants,J4,27,119,92,194,118.0,3.41,
Existants,J5,148,140,-8,79,139.0,-0.05,
Nouveaux acceptés,J6,,289,,299,0.97,,
Nouveaux acceptés,J7,,480,,219,2.19,,
Nouveaux acceptés,J8,,473,,167,2.83,,
Nouveaux acceptés,J9,,227,,223,1.02,,
Nouveaux acceptés,J10,,83,,173,0.48,,
Nouveaux acceptés,J11,,360,,212,1.7,,
Nouveaux acceptés,J12,,154,,165,0.93,,
Nouveaux acceptés,J13,,566,,196,2.89,,
Nouveaux acceptés,J14,,323,,157,2.06,,
Nouveaux acceptés,J15,,139,,237,0.59,,
Nouveaux acceptés,J16,,137,,233,0.59,,
Nouveaux acceptés,J17,,198,,209,0.95,,
