Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,392,444,52,250,443.0,0.13,
Existants,J2,166,142,-24,189,141.0,-0.14,
Existants,J3,101,90,-11,235,89.0,-0.11,
Existants,J4,0,0,0,179,-1.0,,
Existants,J5,466,599,133,233,598.0,0.29,
Existants,J6,222,262,40,228,261.0,0.18,
Existants,J7,373,182,-191,263,181.0,-0.51,
Existants,J8,19,19,0,119,18.0,0.0,
Existants,J9,0,0,0,203,-1.0,,
Existants,J10,27,27,0,192,26.0,0.0,
Existants,J11,25,25,0,151,24.0,0.0,
Nouveaux acceptés,J12,,437,,338,1.29,,
Nouveaux acceptés,J13,,583,,357,1.63,,
Nouveaux acceptés,J14,,242,,360,0.67,,
Nouveaux acceptés,J15,,437,,449,0.97,,
