Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,10,0,-10,162,-1.0,-1.0,
Existants,J2,159,126,-33,105,125.0,-0.21,
Existants,J3,167,310,143,129,309.0,0.86,
Existants,J4,27,0,-27,194,-1.0,-1.0,
Existants,J5,148,109,-39,79,108.0,-0.26,
Nouveaux acceptés,J6,,168,,130,1.29,,
Nouveaux acceptés,J7,,39,,186,0.21,,
Nouveaux acceptés,J8,,396,,136,2.91,,
Nouveaux acceptés,J9,,309,,175,1.77,,
Nouveaux acceptés,J10,,176,,128,1.38,,
Nouveaux acceptés,J11,,290,,200,1.45,,
Nouveaux acceptés,J12,,338,,172,1.97,,
Nouveaux acceptés,J13,,244,,155,1.57,,
