Pool,job,cost,Cj_initial,Cj_final,Diff_Cj,Tj_initial,Tj_final,Tj_final_pondere,Diff_Tj,Cmax,dj
Existants,J1,0.97,104,90,-14,10,0,0.0,-10,152,94
Existants,J2,0.82,110,114,4,0,0,0.0,0,152,129
Nouveaux acceptés,J3,0.24,,152,,,57,13.71,,152,95
