Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,10,0,-10,162,-1.0,-1.0,
Existants,J2,159,120,-39,105,119.0,-0.25,
Existants,J3,167,181,14,129,180.0,0.08,
Existants,J4,27,0,-27,194,-1.0,-1.0,
Existants,J5,148,109,-39,79,108.0,-0.26,
Nouveaux acceptés,J6,,429,,141,3.04,,
Nouveaux acceptés,J7,,559,,105,5.32,,
Nouveaux acceptés,J8,,238,,113,2.11,,
Nouveaux acceptés,J9,,356,,78,4.56,,
Nouveaux acceptés,J10,,381,,104,3.66,,
Nouveaux acceptés,J11,,242,,115,2.1,,
Nouveaux acceptés,J12,,613,,116,5.28,,
Nouveaux acceptés,J13,,394,,113,3.49,,
Nouveaux acceptés,J14,,283,,118,2.4,,
Nouveaux acceptés,J15,,308,,132,2.33,,
Nouveaux acceptés,J16,,199,,105,1.9,,
Nouveaux acceptés,J17,,528,,142,3.72,,
