Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,0,0,0,162,-1.0,,
Existants,J2,167,128,-39,105,127.0,-0.23,
Existants,J3,175,331,156,129,330.0,0.89,
Existants,J4,0,0,0,194,-1.0,,
Existants,J5,156,115,-41,79,114.0,-0.26,
Nouveaux acceptés,J6,,217,,130,1.67,,
Nouveaux acceptés,J7,,193,,186,1.04,,
Nouveaux acceptés,J8,,91,,136,0.67,,
Nouveaux acceptés,J9,,103,,175,0.59,,
Nouveaux acceptés,J10,,233,,120,1.94,,
Nouveaux acceptés,J11,,84,,200,0.42,,
Nouveaux acceptés,J12,,282,,172,1.64,,
