Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,26,26,0,96,25.0,0.0,
Existants,J2,133,133,0,173,132.0,0.0,
Existants,J3,0,0,0,133,-1.0,,
Existants,J4,264,307,43,136,306.0,0.16,
Existants,J5,131,131,0,169,130.0,0.0,
Existants,J6,69,69,0,165,68.0,0.0,
Existants,J7,0,0,0,152,-1.0,,
Existants,J8,0,0,0,174,-1.0,,
Nouveaux acceptés,J9,,172,,436,0.39,,
Nouveaux acceptés,J10,,456,,441,1.03,,
Nouveaux acceptés,J11,,69,,496,0.14,,
Nouveaux acceptés,J12,,299,,470,0.64,,
Nouveaux acceptés,J13,,238,,462,0.52,,
Nouveaux acceptés,J14,,158,,482,0.33,,
Nouveaux acceptés,J15,,0,,407,0.0,,
Nouveaux acceptés,J16,,134,,453,0.3,,
Nouveaux acceptés,J17,,484,,461,1.05,,
