Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,0,0,0,146,-1.0,,
Nouveaux acceptés,J2,,132,,144,0.92,,
Nouveaux acceptés,J3,,0,,152,0.0,,
Nouveaux acceptés,J4,,26,,198,0.13,,
