Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,42,0,-42,162,-1.0,-1.0,
Existants,J2,154,42,-112,105,41.0,-0.73,
Existants,J3,157,96,-61,129,95.0,-0.39,
Existants,J4,59,119,60,194,118.0,1.02,
Existants,J5,131,168,37,79,167.0,0.28,
Nouveaux acceptés,J6,,3,,190,0.02,,
Nouveaux acceptés,J7,,241,,193,1.25,,
Nouveaux acceptés,J8,,150,,247,0.61,,
