Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,252,232,-20,167,231.0,-0.08,
Existants,J2,363,674,311,196,673.0,0.86,
Existants,J3,17,81,64,155,80.0,3.76,
Existants,J4,186,242,56,131,241.0,0.3,
Existants,J5,0,0,0,182,-1.0,,
Existants,J6,22,0,-22,189,-1.0,-1.0,
Existants,J7,0,0,0,135,-1.0,,
Existants,J8,442,582,140,178,581.0,0.32,
Existants,J9,228,379,151,165,378.0,0.66,
Existants,J10,0,0,0,203,-1.0,,
Nouveaux acceptés,J11,,269,,399,0.67,,
Nouveaux acceptés,J12,,138,,400,0.34,,
Nouveaux acceptés,J13,,107,,357,0.3,,
Nouveaux acceptés,J14,,0,,198,0.0,,
Nouveaux acceptés,J15,,23,,274,0.08,,
Nouveaux acceptés,J16,,635,,282,2.25,,
Nouveaux acceptés,J17,,275,,337,0.82,,
