Pool,job,cost,Cj_initial,Cj_final,Diff_Cj,Tj_initial,Tj_final,Tj_final_pondere,Diff_Tj,Cmax,dj
Existants,J1,1.0,109,109,0,1,1,1.0,0,313,108
Existants,J2,1.0,133,133,0,40,40,40.0,0,313,93
Nouveaux acceptés,J3,1.0,,313,,,69,69.0,,313,244
Nouveaux acceptés,J4,1.0,,223,,,0,0.0,,313,239
