Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,0,0,0,162,-1.0,,
Existants,J2,167,125,-42,105,124.0,-0.25,
Existants,J3,175,394,219,129,393.0,1.25,
Existants,J4,0,0,0,194,-1.0,,
Existants,J5,156,114,-42,79,113.0,-0.27,
Nouveaux acceptés,J6,,547,,262,2.09,,
Nouveaux acceptés,J7,,515,,182,2.83,,
Nouveaux acceptés,J8,,241,,123,1.96,,
Nouveaux acceptés,J9,,508,,130,3.91,,
Nouveaux acceptés,J10,,85,,186,0.46,,
Nouveaux acceptés,J11,,51,,136,0.38,,
Nouveaux acceptés,J12,,151,,175,0.86,,
Nouveaux acceptés,J13,,427,,159,2.69,,
Nouveaux acceptés,J14,,311,,120,2.59,,
Nouveaux acceptés,J15,,108,,169,0.64,,
Nouveaux acceptés,J16,,295,,200,1.48,,
Nouveaux acceptés,J17,,52,,172,0.3,,
