Pool,job,cost,Cj_initial,Cj_final,Diff_Cj,Tj_initial,Tj_final,Tj_final_pondere,Diff_Tj,Cmax,dj
Existants,J1,0.82,51,51,0,0,0,0.0,0,332,68
Existants,J2,0.99,129,129,0,0,0,0.0,0,332,131
Nouveaux acceptés,J3,0.31,,326,,,89,27.26,,332,237
Nouveaux acceptés,J4,0.06,,332,,,134,8.38,,332,198
Nouveaux acceptés,J5,0.36,,273,,,106,37.99,,332,167
