Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,0,0,0,116,-1.0,,
Existants,J2,51,49,-2,101,48.0,-0.04,
Existants,J3,81,79,-2,97,78.0,-0.02,
Existants,J4,85,83,-2,124,82.0,-0.02,
Nouveaux acceptés,J5,,39,,232,0.17,,
Nouveaux acceptés,J6,,180,,233,0.77,,
Nouveaux acceptés,J7,,133,,212,0.63,,
Nouveaux acceptés,J8,,76,,243,0.31,,
