Pool,job,cost,Cj_initial,Cj_final,Diff_Cj,Tj_initial,Tj_final,Tj_final_pondere,Diff_Tj,Cmax,dj
Existants,J1,1.0,146,98,-48,65,17,17.0,-48,288,81
Existants,J2,1.0,111,116,5,0,4,4.0,4,288,112
Nouveaux acceptés,J3,1.0,,218,,,62,62.0,,288,156
Nouveaux acceptés,J4,1.0,,288,,,156,156.0,,288,132
Nouveaux acceptés,J5,1.0,,147,,,49,49.0,,288,98
