Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,10,0,-10,162,-1.0,-1.0,
Existants,J2,159,150,-9,105,149.0,-0.06,
Existants,J3,167,169,2,129,168.0,0.01,
Existants,J4,27,0,-27,194,-1.0,-1.0,
Existants,J5,148,139,-9,79,138.0,-0.06,
Nouveaux acceptés,J6,,317,,262,1.21,,
Nouveaux acceptés,J7,,257,,182,1.41,,
Nouveaux acceptés,J8,,501,,130,3.85,,
Nouveaux acceptés,J9,,285,,186,1.53,,
Nouveaux acceptés,J10,,156,,136,1.15,,
Nouveaux acceptés,J11,,388,,175,2.22,,
Nouveaux acceptés,J12,,531,,159,3.34,,
Nouveaux acceptés,J13,,169,,200,0.84,,
Nouveaux acceptés,J14,,77,,172,0.45,,
Nouveaux acceptés,J15,,290,,155,1.87,,
