Pool,job,cost,Cj_initial,Cj_final,Diff_Cj,Tj_initial,Tj_final,Tj_final_pondere,Diff_Tj,Cmax,dj
Existants,J1,0.85,77,77,0,0,0,0.0,0,293,92
Nouveaux acceptés,J2,0.39,,117,,,0,0.0,,293,141
Nouveaux acceptés,J3,0.09,,191,,,2,0.18,,293,189
Nouveaux acceptés,J4,0.36,,293,,,68,24.81,,293,225
