Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,10,0,-10,162,-1.0,-1.0,
Existants,J2,181,299,118,105,298.0,0.65,
Existants,J3,121,163,42,129,162.0,0.35,
Existants,J4,27,0,-27,194,-1.0,-1.0,
Existants,J5,148,122,-26,79,121.0,-0.18,
Nouveaux acceptés,J6,,355,,337,1.05,,
Nouveaux acceptés,J7,,498,,257,1.94,,
Nouveaux acceptés,J8,,133,,198,0.67,,
Nouveaux acceptés,J9,,193,,205,0.94,,
Nouveaux acceptés,J10,,23,,211,0.11,,
Nouveaux acceptés,J11,,203,,250,0.81,,
Nouveaux acceptés,J12,,256,,203,1.26,,
Nouveaux acceptés,J13,,330,,234,1.41,,
Nouveaux acceptés,J14,,436,,195,2.24,,
Nouveaux acceptés,J15,,257,,244,1.05,,
Nouveaux acceptés,J16,,7,,247,0.03,,
