Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,76,0,-76,162,-1.0,-1.0,
Existants,J2,198,473,275,105,472.0,1.39,
Existants,J3,138,0,-138,129,-1.0,-1.0,
Existants,J4,0,1,1,194,0.0,,
Existants,J5,165,209,44,79,208.0,0.27,
Nouveaux acceptés,J6,,306,,337,0.91,,
Nouveaux acceptés,J7,,548,,257,2.13,,
Nouveaux acceptés,J8,,330,,205,1.61,,
Nouveaux acceptés,J9,,21,,261,0.08,,
Nouveaux acceptés,J10,,211,,211,1.0,,
Nouveaux acceptés,J11,,377,,250,1.51,,
Nouveaux acceptés,J12,,225,,203,1.11,,
Nouveaux acceptés,J13,,508,,234,2.17,,
Nouveaux acceptés,J14,,228,,244,0.93,,
Nouveaux acceptés,J15,,266,,275,0.97,,
Nouveaux acceptés,J16,,412,,271,1.52,,
Nouveaux acceptés,J17,,325,,247,1.32,,
Nouveaux acceptés,J18,,159,,230,0.69,,
