Pool,job,cost,Cj_initial,Cj_final,Diff_Cj,Tj_initial,Tj_final,Tj_final_pondere,Diff_Tj,Cmax,dj
Existants,J1,0.94,78,78,0,0,0,0.0,0,256,99
Nouveaux acceptés,J2,0.21,,116,,,0,0.0,,256,147
Nouveaux acceptés,J3,0.05,,256,,,87,4.61,,256,169
Nouveaux acceptés,J4,0.38,,194,,,12,4.6,,256,182
