Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,87,144,57,141,143.0,0.66,
Existants,J2,0,0,0,106,-1.0,,
Existants,J3,26,26,0,112,25.0,0.0,
Nouveaux acceptés,J4,,135,,261,0.52,,
Nouveaux acceptés,J5,,0,,239,0.0,,
Nouveaux acceptés,J6,,245,,326,0.75,,
Nouveaux acceptés,J7,,394,,293,1.34,,
Nouveaux acceptés,J8,,236,,268,0.88,,
Nouveaux acceptés,J9,,107,,296,0.36,,
Nouveaux acceptés,J10,,421,,328,1.28,,
