Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,42,166,124,162,165.0,2.95,
Existants,J2,154,110,-44,105,109.0,-0.29,
Existants,J3,157,289,132,129,288.0,0.84,
Existants,J4,59,0,-59,194,-1.0,-1.0,
Existants,J5,131,99,-32,79,98.0,-0.24,
Nouveaux acceptés,J6,,540,,262,2.06,,
Nouveaux acceptés,J7,,409,,182,2.25,,
Nouveaux acceptés,J8,,513,,130,3.95,,
Nouveaux acceptés,J9,,70,,186,0.38,,
Nouveaux acceptés,J10,,36,,136,0.26,,
Nouveaux acceptés,J11,,288,,175,1.65,,
Nouveaux acceptés,J12,,11,,128,0.09,,
Nouveaux acceptés,J13,,369,,159,2.32,,
Nouveaux acceptés,J14,,214,,120,1.78,,
Nouveaux acceptés,J15,,93,,169,0.55,,
Nouveaux acceptés,J16,,269,,200,1.34,,
Nouveaux acceptés,J17,,37,,172,0.22,,
Nouveaux acceptés,J18,,586,,155,3.78,,
