Pool,job,cost,Cj_initial,Cj_final,Diff_Cj,Tj_initial,Tj_final,Tj_final_pondere,Diff_Tj,Cmax,dj
Existants,J1,1.0,151,166,15,51,66,66.0,15,290,100
Existants,J2,1.0,94,94,0,0,0,0.0,0,290,121
Nouveaux acceptés,J3,1.0,,233,,,70,70.0,,290,163
Nouveaux acceptés,J4,1.0,,290,,,182,182.0,,290,108
