Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,99,99,0,124,98.0,0.0,
Existants,J2,0,0,0,142,-1.0,,
Existants,J3,290,290,0,136,289.0,0.0,
Existants,J4,96,96,0,185,95.0,0.0,
Existants,J5,0,0,0,117,-1.0,,
Existants,J6,0,0,0,89,-1.0,,
Existants,J7,217,217,0,120,216.0,0.0,
Existants,J8,0,0,0,72,-1.0,,
Nouveaux acceptés,J9,,123,,568,0.22,,
Nouveaux acceptés,J10,,39,,528,0.07,,
Nouveaux acceptés,J11,,212,,553,0.38,,
Nouveaux acceptés,J12,,0,,522,0.0,,
Nouveaux acceptés,J13,,0,,487,0.0,,
Nouveaux acceptés,J14,,11,,550,0.02,,
Nouveaux acceptés,J15,,76,,556,0.14,,
