Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,19,19,0,173,18.0,0.0,
Existants,J2,0,0,0,235,-1.0,,
Existants,J3,0,0,0,195,-1.0,,
Existants,J4,0,0,0,100,-1.0,,
Existants,J5,491,685,194,268,684.0,0.4,
Existants,J6,0,0,0,160,-1.0,,
Existants,J7,323,365,42,167,364.0,0.13,
Existants,J8,135,115,-20,241,114.0,-0.15,
Existants,J9,119,119,0,143,118.0,0.0,
Existants,J10,704,603,-101,105,602.0,-0.14,
Existants,J11,462,732,270,156,731.0,0.58,
Existants,J12,401,194,-207,275,193.0,-0.52,
Existants,J13,35,286,251,276,285.0,7.17,
Nouveaux acceptés,J14,,629,,397,1.58,,
Nouveaux acceptés,J15,,381,,379,1.01,,
Nouveaux acceptés,J16,,717,,394,1.82,,
Nouveaux acceptés,J17,,674,,395,1.71,,
