Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,79,79,0,67,78.0,0.0,
Existants,J2,4,4,0,116,3.0,0.0,
Existants,J3,13,13,0,113,12.0,0.0,
Existants,J4,135,135,0,145,134.0,0.0,
Existants,J5,118,118,0,130,117.0,0.0,
Nouveaux acceptés,J6,,100,,396,0.25,,
Nouveaux acceptés,J7,,0,,369,0.0,,
Nouveaux acceptés,J8,,121,,423,0.29,,
Nouveaux acceptés,J9,,12,,426,0.03,,
Nouveaux acceptés,J10,,0,,425,0.0,,
