Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,42,0,-42,162,-1.0,-1.0,
Existants,J2,154,164,10,105,163.0,0.06,
Existants,J3,157,331,174,129,330.0,1.11,
Existants,J4,59,0,-59,194,-1.0,-1.0,
Existants,J5,131,139,8,79,138.0,0.06,
Nouveaux acceptés,J6,,202,,130,1.55,,
Nouveaux acceptés,J7,,229,,186,1.23,,
Nouveaux acceptés,J8,,318,,136,2.34,,
Nouveaux acceptés,J9,,88,,175,0.5,,
Nouveaux acceptés,J10,,218,,120,1.82,,
Nouveaux acceptés,J11,,209,,169,1.24,,
Nouveaux acceptés,J12,,221,,200,1.1,,
Nouveaux acceptés,J13,,308,,172,1.79,,
