Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,174,185,11,119,184.0,0.06,
Existants,J2,104,104,0,84,103.0,0.0,
Existants,J3,76,87,11,152,86.0,0.14,
Existants,J4,0,0,0,98,-1.0,,
Existants,J5,27,27,0,81,26.0,0.0,
Existants,J6,0,0,0,64,-1.0,,
Nouveaux acceptés,J7,,257,,340,0.76,,
Nouveaux acceptés,J8,,137,,306,0.45,,
Nouveaux acceptés,J9,,270,,284,0.95,,
Nouveaux acceptés,J10,,442,,353,1.25,,
Nouveaux acceptés,J11,,0,,350,0.0,,
Nouveaux acceptés,J12,,0,,372,0.0,,
Nouveaux acceptés,J13,,0,,358,0.0,,
Nouveaux acceptés,J14,,348,,368,0.95,,
Nouveaux acceptés,J15,,137,,356,0.38,,
Nouveaux acceptés,J16,,183,,316,0.58,,
Nouveaux acceptés,J17,,279,,372,0.75,,
Nouveaux acceptés,J18,,201,,347,0.58,,
