Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,0,0,0,162,-1.0,,
Existants,J2,167,124,-43,105,123.0,-0.26,
Existants,J3,175,239,64,129,238.0,0.37,
Existants,J4,0,107,107,194,106.0,,
Existants,J5,156,70,-86,79,69.0,-0.55,
Nouveaux acceptés,J6,,286,,205,1.4,,
Nouveaux acceptés,J7,,5,,261,0.02,,
Nouveaux acceptés,J8,,12,,211,0.06,,
Nouveaux acceptés,J9,,183,,250,0.73,,
Nouveaux acceptés,J10,,0,,203,0.0,,
Nouveaux acceptés,J11,,164,,275,0.6,,
Nouveaux acceptés,J12,,0,,247,0.0,,
