Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,0,0,0,155,-1.0,,
Existants,J2,0,11,11,221,10.0,,
Existants,J3,0,0,0,115,-1.0,,
Existants,J4,422,570,148,228,569.0,0.35,
Existants,J5,0,0,0,203,-1.0,,
Existants,J6,353,368,15,139,367.0,0.04,
Existants,J7,0,0,0,99,-1.0,,
Existants,J8,164,333,169,196,332.0,1.03,
Existants,J9,155,185,30,234,184.0,0.19,
Existants,J10,453,519,66,98,518.0,0.15,
Existants,J11,240,40,-200,225,39.0,-0.83,
Nouveaux acceptés,J12,,31,,306,0.1,,
Nouveaux acceptés,J13,,95,,330,0.29,,
Nouveaux acceptés,J14,,229,,329,0.7,,
Nouveaux acceptés,J15,,491,,358,1.37,,
