Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,0,0,0,111,-1.0,,
Existants,J2,167,167,0,91,166.0,0.0,
Existants,J3,40,40,0,110,39.0,0.0,
Existants,J4,99,99,0,153,98.0,0.0,
Existants,J5,62,62,0,82,61.0,0.0,
Nouveaux acceptés,J6,,0,,400,0.0,,
Nouveaux acceptés,J7,,77,,383,0.2,,
Nouveaux acceptés,J8,,535,,401,1.33,,
Nouveaux acceptés,J9,,230,,405,0.57,,
Nouveaux acceptés,J10,,196,,420,0.47,,
Nouveaux acceptés,J11,,467,,403,1.16,,
Nouveaux acceptés,J12,,0,,378,0.0,,
Nouveaux acceptés,J13,,449,,481,0.93,,
Nouveaux acceptés,J14,,0,,381,0.0,,
Nouveaux acceptés,J15,,254,,430,0.59,,
Nouveaux acceptés,J16,,290,,447,0.65,,
