Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,191,191,0,224,190.0,0.0,
Existants,J2,418,423,5,141,422.0,0.01,
Existants,J3,277,277,0,101,276.0,0.0,
Existants,J4,334,334,0,160,333.0,0.0,
Existants,J5,0,0,0,174,-1.0,,
Existants,J6,139,139,0,178,138.0,0.0,
Existants,J7,0,0,0,77,-1.0,,
Existants,J8,0,0,0,141,-1.0,,
Existants,J9,97,97,0,157,96.0,0.0,
Existants,J10,0,0,0,166,-1.0,,
Existants,J11,26,26,0,165,25.0,0.0,
Existants,J12,0,0,0,143,-1.0,,
Existants,J13,179,179,0,103,178.0,0.0,
Existants,J14,509,514,5,116,513.0,0.01,
Nouveaux acceptés,J15,,102,,605,0.17,,
Nouveaux acceptés,J16,,93,,648,0.14,,
Nouveaux acceptés,J17,,282,,613,0.46,,
Nouveaux acceptés,J18,,155,,648,0.24,,
Nouveaux acceptés,J19,,202,,631,0.32,,
Nouveaux acceptés,J20,,328,,636,0.52,,
