Pool,job,cost,Cj_initial,Cj_final,Diff_Cj,Tj_initial,Tj_final,Tj_final_pondere,Diff_Tj,Cmax,dj
Existants,J1,0.89,105,105,0,0,0,0.0,0,222,110
Nouveaux acceptés,J2,0.22,,171,,,49,10.81,,222,122
Nouveaux acceptés,J3,0.1,,222,,,73,7.47,,222,149
