Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,458,229,-229,199,228.0,-0.5,
Existants,J2,439,623,184,292,622.0,0.42,
Existants,J3,264,336,72,129,335.0,0.27,
Existants,J4,618,569,-49,272,568.0,-0.08,
Existants,J5,149,149,0,114,148.0,0.0,
Existants,J6,55,55,0,125,54.0,0.0,
Existants,J7,11,11,0,202,10.0,0.0,
Existants,J8,387,408,21,209,407.0,0.05,
Existants,J9,176,437,261,320,436.0,1.48,
Existants,J10,208,204,-4,230,203.0,-0.02,
Existants,J11,0,0,0,152,-1.0,,
Existants,J12,223,171,-52,139,170.0,-0.23,
Existants,J13,603,490,-113,185,489.0,-0.19,
Existants,J14,0,0,0,137,-1.0,,
Nouveaux acceptés,J15,,574,,488,1.18,,
Nouveaux acceptés,J16,,537,,432,1.24,,
Nouveaux acceptés,J17,,515,,439,1.17,,
Nouveaux acceptés,J18,,659,,473,1.39,,
