Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,42,0,-42,162,-1.0,-1.0,
Existants,J2,154,126,-28,105,125.0,-0.18,
Existants,J3,157,364,207,129,363.0,1.32,
Existants,J4,59,0,-59,194,-1.0,-1.0,
Existants,J5,131,109,-22,79,108.0,-0.17,
Nouveaux acceptés,J6,,223,,130,1.72,,
Nouveaux acceptés,J7,,39,,186,0.21,,
Nouveaux acceptés,J8,,351,,136,2.58,,
Nouveaux acceptés,J9,,105,,175,0.6,,
Nouveaux acceptés,J10,,231,,128,1.8,,
Nouveaux acceptés,J11,,117,,169,0.69,,
Nouveaux acceptés,J12,,369,,200,1.84,,
Nouveaux acceptés,J13,,341,,172,1.98,,
Nouveaux acceptés,J14,,299,,155,1.93,,
