Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,128,128,0,123,127.0,0.0,
Existants,J2,18,18,0,75,17.0,0.0,
Existants,J3,53,53,0,192,52.0,0.0,
Existants,J4,160,160,0,170,159.0,0.0,
Existants,J5,0,0,0,88,-1.0,,
Nouveaux acceptés,J6,,234,,395,0.59,,
Nouveaux acceptés,J7,,304,,427,0.71,,
Nouveaux acceptés,J8,,159,,412,0.39,,
Nouveaux acceptés,J9,,191,,374,0.51,,
Nouveaux acceptés,J10,,477,,395,1.21,,
Nouveaux acceptés,J11,,378,,386,0.98,,
Nouveaux acceptés,J12,,60,,386,0.16,,
Nouveaux acceptés,J13,,3,,393,0.01,,
Nouveaux acceptés,J14,,5,,347,0.01,,
Nouveaux acceptés,J15,,165,,458,0.36,,
Nouveaux acceptés,J16,,453,,425,1.07,,
Nouveaux acceptés,J17,,244,,452,0.54,,
