Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,0,0,0,132,-1.0,,
Existants,J2,0,0,0,114,-1.0,,
Existants,J3,0,0,0,189,-1.0,,
Existants,J4,232,232,0,185,231.0,0.0,
Existants,J5,83,83,0,176,82.0,0.0,
Existants,J6,92,92,0,173,91.0,0.0,
Existants,J7,71,71,0,114,70.0,0.0,
Existants,J8,234,234,0,137,233.0,0.0,
Nouveaux acceptés,J9,,0,,476,0.0,,
Nouveaux acceptés,J10,,37,,545,0.07,,
Nouveaux acceptés,J11,,0,,481,0.0,,
Nouveaux acceptés,J12,,33,,501,0.07,,
Nouveaux acceptés,J13,,459,,524,0.88,,
Nouveaux acceptés,J14,,495,,546,0.91,,
Nouveaux acceptés,J15,,153,,514,0.3,,
Nouveaux acceptés,J16,,189,,516,0.37,,
Nouveaux acceptés,J17,,367,,509,0.72,,
