Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,0,0,0,63,-1.0,,
Existants,J2,0,0,0,91,-1.0,,
Nouveaux acceptés,J3,,0,,153,0.0,,
