Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,76,0,-76,162,-1.0,-1.0,
Existants,J2,198,325,127,105,324.0,0.64,
Existants,J3,138,199,61,129,198.0,0.44,
Existants,J4,0,0,0,194,-1.0,,
Existants,J5,165,133,-32,79,132.0,-0.19,
Nouveaux acceptés,J6,,339,,219,1.55,,
Nouveaux acceptés,J7,,326,,167,1.95,,
Nouveaux acceptés,J8,,201,,223,0.9,,
Nouveaux acceptés,J9,,108,,173,0.62,,
Nouveaux acceptés,J10,,165,,212,0.78,,
Nouveaux acceptés,J11,,122,,165,0.74,,
Nouveaux acceptés,J12,,425,,196,2.17,,
Nouveaux acceptés,J13,,342,,157,2.18,,
Nouveaux acceptés,J14,,177,,206,0.86,,
Nouveaux acceptés,J15,,11,,237,0.05,,
Nouveaux acceptés,J16,,113,,209,0.54,,
