Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,274,367,93,168,366.0,0.34,
Existants,J2,524,1021,497,158,1020.0,0.95,
Existants,J3,31,31,0,162,30.0,0.0,
Existants,J4,101,101,0,145,100.0,0.0,
Existants,J5,0,0,0,132,-1.0,,
Existants,J6,216,216,0,141,215.0,0.0,
Existants,J7,447,711,264,168,710.0,0.59,
Existants,J8,232,320,88,159,319.0,0.38,
Existants,J9,389,512,123,168,511.0,0.32,
Existants,J10,44,44,0,115,43.0,0.0,
Nouveaux acceptés,J11,,0,,435,0.0,,
Nouveaux acceptés,J12,,663,,449,1.48,,
Nouveaux acceptés,J13,,811,,521,1.56,,
Nouveaux acceptés,J14,,97,,472,0.21,,
Nouveaux acceptés,J15,,192,,424,0.45,,
Nouveaux acceptés,J16,,469,,457,1.03,,
Nouveaux acceptés,J17,,816,,467,1.75,,
Nouveaux acceptés,J18,,376,,398,0.94,,
Nouveaux acceptés,J19,,580,,499,1.16,,
Nouveaux acceptés,J20,,848,,537,1.58,,
