Pool,job,cost,Cj_initial,Cj_final,Diff_Cj,Tj_initial,Tj_final,Tj_final_pondere,Diff_Tj,Cmax,dj
Existants,J1,1.0,177,187,10,59,69,69.0,10,234,118
Existants,J2,1.0,129,129,0,0,0,0.0,0,234,130
Nouveaux acceptés,J3,1.0,,234,,,46,46.0,,234,188
